GEOID,NAME,B01003_001E,B19013_001E,B19113_001E,B17001_001E,B17001_002E,B03002_001E,B03002_003E,B03002_004E,B03002_006E,B03002_012E,state,county,tract
10005050407,Census Tract 504.07; Sussex County; Delaware,6148,58241,74485,6097,1864,6148,2913,1542,27,676,10,005,050407
10005050408,Census Tract 504.08; Sussex County; Delaware,4233,61027,87222,4198,663,4233,2285,832,19,789,10,005,050408
10005050501,Census Tract 505.01; Sussex County; Delaware,4363,82935,93631,4298,390,4363,3006,228,40,692,10,005,050501
10005050503,Census Tract 505.03; Sussex County; Delaware,6184,45774,46929,5934,912,6184,885,646,3,4546,10,005,050503
10005050505,Census Tract 505.05; Sussex County; Delaware,2416,72569,73750,1311,112,2416,1427,528,13,314,10,005,050505
10005050506,Census Tract 505.06; Sussex County; Delaware,3290,74141,79231,3290,274,3290,1817,352,13,949,10,005,050506
10005050601,Census Tract 506.01; Sussex County; Delaware,5598,82229,80545,5533,573,5598,4138,373,0,853,10,005,050601
10005050603,Census Tract 506.03; Sussex County; Delaware,3551,84146,84792,3301,101,3551,2122,593,139,283,10,005,050603
10005050604,Census Tract 506.04; Sussex County; Delaware,5345,64256,80559,5345,1492,5345,3252,774,30,1198,10,005,050604
10005050701,Census Tract 507.01; Sussex County; Delaware,4681,80306,91875,4606,479,4681,3400,378,130,553,10,005,050701
10005050703,Census Tract 507.03; Sussex County; Delaware,1862,62679,65795,1861,328,1862,1176,259,11,299,10,005,050703
10005050706,Census Tract 507.06; Sussex County; Delaware,1618,77292,111154,1618,128,1618,1314,13,19,27,10,005,050706
10005050707,Census Tract 507.07; Sussex County; Delaware,2392,59529,79390,2392,80,2392,2124,175,36,27,10,005,050707
10005050708,Census Tract 507.08; Sussex County; Delaware,3911,80458,91542,3911,332,3911,3152,126,60,228,10,005,050708
10005050709,Census Tract 507.09; Sussex County; Delaware,1737,94531,134821,1737,69,1737,1672,10,0,43,10,005,050709
10005050710,Census Tract 507.10; Sussex County; Delaware,2412,60156,58750,2404,206,2412,1772,0,0,533,10,005,050710
10005050711,Census Tract 507.11; Sussex County; Delaware,1138,44952,58542,1138,151,1138,987,23,0,37,10,005,050711
10005050801,Census Tract 508.01; Sussex County; Delaware,4142,76181,92531,4125,190,4142,3090,444,29,384,10,005,050801
10005050804,Census Tract 508.04; Sussex County; Delaware,4141,108365,115188,4111,163,4141,3294,228,42,318,10,005,050804
10005050805,Census Tract 508.05; Sussex County; Delaware,3812,113850,113650,3806,404,3812,3452,121,0,202,10,005,050805
10005050806,Census Tract 508.06; Sussex County; Delaware,4507,71989,89643,4507,575,4507,4067,177,79,111,10,005,050806
10005050807,Census Tract 508.07; Sussex County; Delaware,1587,65789,78269,1587,336,1587,1102,142,275,44,10,005,050807
10005050808,Census Tract 508.08; Sussex County; Delaware,3968,75608,129397,3968,221,3968,3325,143,0,272,10,005,050808
10005050903,Census Tract 509.03; Sussex County; Delaware,1978,116528,152460,1810,47,1978,1740,17,79,76,10,005,050903
10005050904,Census Tract 509.04; Sussex County; Delaware,2561,82375,128788,2519,336,2561,2359,35,13,85,10,005,050904
10005050905,Census Tract 509.05; Sussex County; Delaware,3425,82072,96010,3425,230,3425,3341,0,0,75,10,005,050905
10005051008,Census Tract 510.08; Sussex County; Delaware,4460,103860,145987,4460,145,4460,3699,553,95,82,10,005,051008
10005051009,Census Tract 510.09; Sussex County; Delaware,2375,167656,184247,2375,80,2375,2121,56,141,57,10,005,051009
10005051010,Census Tract 510.10; Sussex County; Delaware,3181,77708,108519,3181,265,3181,2966,2,37,81,10,005,051010
10005051011,Census Tract 510.11; Sussex County; Delaware,3861,110471,135298,3861,262,3861,3155,220,226,97,10,005,051011
10005051012,Census Tract 510.12; Sussex County; Delaware,2045,82239,101172,2045,223,2045,1880,38,23,6,10,005,051012
10005051013,Census Tract 510.13; Sussex County; Delaware,4347,93363,100720,4340,311,4347,3609,96,124,259,10,005,051013
10005051014,Census Tract 510.14; Sussex County; Delaware,1917,88667,103000,1917,68,1917,1786,9,0,33,10,005,051014
10005051015,Census Tract 510.15; Sussex County; Delaware,2091,118342,128115,2091,77,2091,1730,63,10,216,10,005,051015
10005051016,Census Tract 510.16; Sussex County; Delaware,2218,97679,146630,2218,201,2218,1967,0,43,63,10,005,051016
10005051017,Census Tract 510.17; Sussex County; Delaware,4005,100658,127125,4005,285,4005,3680,18,81,84,10,005,051017
10005051101,Census Tract 511.01; Sussex County; Delaware,929,155288,183750,916,37,929,842,1,10,21,10,005,051101
10005051102,Census Tract 511.02; Sussex County; Delaware,1088,110556,123958,1088,66,1088,855,2,16,69,10,005,051102
10005051103,Census Tract 511.03; Sussex County; Delaware,1080,116875,170750,1080,59,1080,1063,3,0,3,10,005,051103
10005051201,Census Tract 512.01; Sussex County; Delaware,1376,104821,132708,1376,105,1376,1217,14,22,47,10,005,051201
10005051202,Census Tract 512.02; Sussex County; Delaware,1042,136964,211563,1026,13,1042,901,17,4,2,10,005,051202
10005051203,Census Tract 512.03; Sussex County; Delaware,679,102917,127500,679,28,679,638,0,15,12,10,005,051203
10005051204,Census Tract 512.04; Sussex County; Delaware,696,112344,128750,693,23,696,610,0,1,9,10,005,051204
10005051205,Census Tract 512.05; Sussex County; Delaware,746,102500,124375,746,17,746,642,0,0,4,10,005,051205
10005051302,Census Tract 513.02; Sussex County; Delaware,5420,87681,108942,5403,405,5420,4786,410,42,49,10,005,051302
10005051307,Census Tract 513.07; Sussex County; Delaware,3260,98173,104418,3260,633,3260,3208,0,44,0,10,005,051307
10005051308,Census Tract 513.08; Sussex County; Delaware,3922,88893,95938,3922,192,3922,3753,103,0,27,10,005,051308
10005051309,Census Tract 513.09; Sussex County; Delaware,1347,64181,96042,1347,85,1347,1254,20,0,49,10,005,051309
10005051310,Census Tract 513.10; Sussex County; Delaware,2200,111161,124005,2200,57,2200,1999,130,0,51,10,005,051310
10005051311,Census Tract 513.11; Sussex County; Delaware,1659,115398,132083,1659,191,1659,1607,17,0,0,10,005,051311
10005051312,Census Tract 513.12; Sussex County; Delaware,2410,90332,146875,2410,147,2410,2282,0,12,9,10,005,051312
10005051313,Census Tract 513.13; Sussex County; Delaware,2961,82796,90293,2959,347,2961,2650,62,68,121,10,005,051313
10005051314,Census Tract 513.14; Sussex County; Delaware,2863,80779,100368,2863,136,2863,2638,34,16,102,10,005,051314
10005051400,Census Tract 514; Sussex County; Delaware,3763,80476,99040,3731,173,3763,2613,272,16,793,10,005,051400
10005051501,Census Tract 515.01; Sussex County; Delaware,2865,82929,98490,2865,297,2865,1636,488,17,683,10,005,051501
10005051502,Census Tract 515.02; Sussex County; Delaware,3446,82923,95915,3419,313,3446,2897,197,28,130,10,005,051502
10005051701,Census Tract 517.01; Sussex County; Delaware,4528,78542,90556,4518,355,4528,3751,228,48,381,10,005,051701
10005051702,Census Tract 517.02; Sussex County; Delaware,7067,75265,82991,7065,1015,7067,5265,752,64,705,10,005,051702
10005051801,Census Tract 518.01; Sussex County; Delaware,6057,45674,59700,6055,1585,6057,4026,1158,18,791,10,005,051801
10005051802,Census Tract 518.02; Sussex County; Delaware,4062,62358,68083,4047,881,4062,2110,1023,1,899,10,005,051802
10005051900,Census Tract 519; Sussex County; Delaware,4541,57734,82762,4449,433,4541,3215,701,91,158,10,005,051900
10005980000,Census Tract 9800; Sussex County; Delaware,0,-666666666,-666666666,0,0,0,0,0,0,0,10,005,980000
10005990000,Census Tract 9900; Sussex County; Delaware,0,-666666666,-666666666,0,0,0,0,0,0,0,10,005,990000
